Time: 2025-01-07 00:00:00, Timestep: 1, Round: 1, Target Node: 0, Phase: TRANSMITTING, Round Length: 20, Timestep in Round: 1, Current Connections: 2, Cumulative Connections: 2/7, Connected Sats: [5, 7], Missing Sats: [1, 2, 3, 4, 6], Round Complete: False
0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0
0,1,0,1,1,0,1,1
0,0,1,0,0,1,0,0
0,0,1,0,0,0,1,1
1,0,0,1,0,0,0,1
0,1,1,0,1,0,0,1
1,0,1,0,1,1,1,0
Time: 2025-01-07 00:01:00, Timestep: 2, Round: 1, Target Node: 0, Phase: TRANSMITTING, Round Length: 20, Timestep in Round: 2, Current Connections: 2, Cumulative Connections: 2/7, Connected Sats: [5, 7], Missing Sats: [1, 2, 3, 4, 6], Round Complete: False
0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0
0,1,0,1,1,0,1,1
0,0,1,0,0,1,0,0
0,0,1,0,0,0,1,1
1,0,0,1,0,0,0,1
0,1,1,0,1,0,0,1
1,0,1,0,1,1,1,0
Time: 2025-01-07 00:02:00, Timestep: 3, Round: 1, Target Node: 0, Phase: TRANSMITTING, Round Length: 20, Timestep in Round: 3, Current Connections: 2, Cumulative Connections: 2/7, Connected Sats: [5, 7], Missing Sats: [1, 2, 3, 4, 6], Round Complete: False
0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0
0,1,0,1,1,0,1,1
0,0,1,0,0,1,0,0
0,0,1,0,0,0,1,1
1,0,0,1,0,0,0,1
0,1,1,0,1,0,0,1
1,0,1,0,1,1,1,0
Time: 2025-01-07 00:03:00, Timestep: 4, Round: 1, Target Node: 0, Phase: TRANSMITTING, Round Length: 20, Timestep in Round: 4, Current Connections: 3, Cumulative Connections: 3/7, Connected Sats: [3, 5, 7], Missing Sats: [1, 2, 4, 6], Round Complete: False
0,0,0,1,0,1,0,1
0,0,1,0,1,0,1,0
0,1,0,1,1,0,1,1
1,0,1,0,0,1,0,0
0,1,1,0,0,0,1,1
1,0,0,1,0,0,0,1
0,1,1,0,1,0,0,1
1,0,1,0,1,1,1,0
Time: 2025-01-07 00:04:00, Timestep: 5, Round: 1, Target Node: 0, Phase: TRANSMITTING, Round Length: 20, Timestep in Round: 5, Current Connections: 3, Cumulative Connections: 3/7, Connected Sats: [3, 5, 7], Missing Sats: [1, 2, 4, 6], Round Complete: False
0,0,0,1,0,1,0,1
0,0,1,0,1,0,1,0
0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0
0,1,1,0,0,0,1,1
1,0,0,1,0,0,0,1
0,1,1,0,1,0,0,1
1,0,1,0,1,1,1,0
Time: 2025-01-07 00:05:00, Timestep: 6, Round: 1, Target Node: 0, Phase: TRANSMITTING, Round Length: 20, Timestep in Round: 6, Current Connections: 3, Cumulative Connections: 3/7, Connected Sats: [3, 5, 7], Missing Sats: [1, 2, 4, 6], Round Complete: False
0,0,0,1,0,1,0,1
0,0,1,0,1,0,1,0
0,1,0,0,1,1,1,1
1,0,0,0,0,1,0,0
0,1,1,0,0,0,1,1
1,0,1,1,0,0,0,1
0,1,1,0,1,0,0,1
1,0,1,0,1,1,1,0
Time: 2025-01-07 00:06:00, Timestep: 7, Round: 1, Target Node: 0, Phase: TRANSMITTING, Round Length: 20, Timestep in Round: 7, Current Connections: 3, Cumulative Connections: 3/7, Connected Sats: [3, 5, 7], Missing Sats: [1, 2, 4, 6], Round Complete: False
0,0,0,1,0,1,0,1
0,0,1,0,1,0,1,0
0,1,0,0,1,1,1,1
1,0,0,0,0,1,0,0
0,1,1,0,0,0,1,1
1,0,1,1,0,0,0,1
0,1,1,0,1,0,0,1
1,0,1,0,1,1,1,0
Time: 2025-01-07 00:07:00, Timestep: 8, Round: 1, Target Node: 0, Phase: TRANSMITTING, Round Length: 20, Timestep in Round: 8, Current Connections: 3, Cumulative Connections: 3/7, Connected Sats: [3, 5, 7], Missing Sats: [1, 2, 4, 6], Round Complete: False
0,0,0,1,0,1,0,1
0,0,1,0,1,0,0,0
0,1,0,0,1,1,1,1
1,0,0,0,0,1,0,0
0,1,1,0,0,0,1,1
