Timestep: 1, Round: 1, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 2, Round: 1, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 3, Round: 1, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 4, Round: 1, Target Node: 1, Phase: TRANSMITTING
0,1,1,1,0
1,0,1,0,0
1,1,0,0,1
1,0,0,0,1
0,0,1,1,0

Timestep: 5, Round: 2, Target Node: 2, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 6, Round: 2, Target Node: 2, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 7, Round: 2, Target Node: 2, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 8, Round: 2, Target Node: 2, Phase: TRANSMITTING
0,0,0,0,0
0,0,1,0,0
0,1,0,0,1
0,0,0,0,0
0,0,1,0,0

Timestep: 9, Round: 2, Target Node: 2, Phase: TRANSMITTING
0,1,0,1,0
1,0,1,0,1
0,1,0,0,0
1,0,0,0,1
0,1,0,1,0

Timestep: 10, Round: 3, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 11, Round: 3, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 12, Round: 3, Target Node: 0, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 13, Round: 3, Target Node: 0, Phase: TRANSMITTING
0,1,0,1,0
1,0,1,0,0
0,1,0,0,0
1,0,0,0,1
0,0,0,1,0

Timestep: 14, Round: 4, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 15, Round: 4, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 16, Round: 4, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 17, Round: 4, Target Node: 1, Phase: TRANSMITTING
0,1,0,1,0
1,0,1,0,0
0,1,0,0,1
1,0,0,0,1
0,0,1,1,0

Timestep: 18, Round: 5, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 19, Round: 5, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 20, Round: 5, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

